#Perc	time	N	Ekin	Epot	Eges
0.2%	2.36	5	0.704877	11.7984	12.5033
0.2%	2.37	5	0.702465	11.8008	12.5033
0.2%	2.38	5	0.700105	11.8032	12.5033
0.2%	2.39	5	0.697797	11.8055	12.5033
0.2%	2.4	5	0.695541	11.8078	12.5033
0.2%	2.41	5	0.693337	11.81	12.5033
0.2%	2.42	5	0.691186	11.8121	12.5033
0.2%	2.43	5	0.689087	11.8142	12.5033
0.2%	2.44	5	0.68704	11.8163	12.5033
0.2%	2.45	5	0.685045	11.8183	12.5033
0.2%	2.46	5	0.683102	11.8202	12.5033
0.2%	2.47	5	0.681211	11.8221	12.5033
0.2%	2.48	5	0.679371	11.824	12.5033
0.2%	2.49	5	0.677583	11.8257	12.5033
0.3%	2.5	5	0.675846	11.8275	12.5033
0.3%	2.51	5	0.67416	11.8292	12.5033
0.3%	2.52	5	0.672525	11.8308	12.5033
0.3%	2.53	5	0.67094	11.8324	12.5033
0.3%	2.54	5	0.669406	11.8339	12.5033
0.3%	2.55	5	0.66792	11.8354	12.5033
0.3%	2.56	5	0.666485	11.8369	12.5033
0.3%	2.57	5	0.665098	11.8382	12.5033
0.3%	2.58	5	0.663759	11.8396	12.5033
0.3%	2.59	5	0.662469	11.8409	12.5033
0.3%	2.6	5	0.661225	11.8421	12.5033
0.3%	2.61	5	0.660029	11.8433	12.5033
0.3%	2.62	5	0.658879	11.8445	12.5033
0.3%	2.63	5	0.657776	11.8456	12.5033
0.3%	2.64	5	0.656717	11.8466	12.5033
0.3%	2.65	5	0.655703	11.8476	12.5033
0.3%	2.66	5	0.654733	11.8486	12.5034
0.3%	2.67	5	0.653807	11.8495	12.5034
0.3%	2.68	5	0.652923	11.8504	12.5034
0.3%	2.69	5	0.652082	11.8513	12.5034
0.3%	2.7	5	0.651281	11.8521	12.5034
0.3%	2.71	5	0.650522	11.8528	12.5034
0.3%	2.72	5	0.649803	11.8536	12.5034
0.3%	2.73	5	0.649122	11.8542	12.5034
0.3%	2.74	5	0.648481	11.8549	12.5034
0.3%	2.75	5	0.647877	11.8555	12.5034
0.3%	2.76	5	0.64731	11.8561	12.5034
0.3%	2.77	5	0.646779	11.8566	12.5034
0.3%	2.78	5	0.646284	11.8571	12.5034
0.3%	2.79	5	0.645824	11.8575	12.5034
0.3%	2.8	5	0.645397	11.858	12.5034
0.3%	2.81	5	0.645004	11.8584	12.5034
0.3%	2.82	5	0.644643	11.8587	12.5034
0.3%	2.83	5	0.644313	11.8591	12.5034
0.3%	2.84	5	0.644015	11.8594	12.5034
0.3%	2.85	5	0.643746	11.8596	12.5034
0.3%	2.86	5	0.643507	11.8599	12.5034
0.3%	2.87	5	0.643295	11.8601	12.5034
0.3%	2.88	5	0.643112	11.8603	12.5034
0.3%	2.89	5	0.642955	11.8604	12.5034
0.3%	2.9	5	0.642825	11.8605	12.5034
0.3%	2.91	5	0.64272	11.8607	12.5034
0.3%	2.92	5	0.64264	11.8607	12.5034
0.3%	2.93	5	0.642583	11.8608	12.5034
0.3%	2.94	5	0.64255	11.8608	12.5034
0.3%	2.95	5	0.642539	11.8608	12.5034
0.3%	2.96	5	0.64255	11.8608	12.5034
0.3%	2.97	5	0.642582	11.8608	12.5034
0.3%	2.98	5	0.642634	11.8607	12.5034
0.3%	2.99	5	0.642706	11.8607	12.5034
0.3%	3	5	0.642797	11.8606	12.5034
0.3%	3.01	5	0.642907	11.8605	12.5034
0.3%	3.02	5	0.643035	11.8603	12.5034
0.3%	3.03	5	0.643179	11.8602	12.5034
0.3%	3.04	5	0.643341	11.86	12.5034
0.3%	3.05	5	0.643519	11.8599	12.5034
0.3%	3.06	5	0.643712	11.8597	12.5034
0.3%	3.07	5	0.64392	11.8595	12.5034
0.3%	3.08	5	0.644143	11.8592	12.5034
0.3%	3.09	5	0.64438	11.859	12.5034
0.3%	3.1	5	0.64463	11.8588	12.5034
0.3%	3.11	5	0.644893	11.8585	12.5034
0.3%	3.12	5	0.645169	11.8582	12.5034
0.3%	3.13	5	0.645458	11.8579	12.5034
0.3%	3.14	5	0.645758	11.8576	12.5034
0.3%	3.15	5	0.646069	11.8573	12.5034
0.3%	3.16	5	0.646391	11.857	12.5034
0.3%	3.17	5	0.646723	11.8567	12.5034
0.3%	3.18	5	0.647066	11.8563	12.5034
0.3%	3.19	5	0.647419	11.856	12.5034
0.3%	3.2	5	0.647781	11.8556	12.5034
0.3%	3.21	5	0.648152	11.8552	12.5034
0.3%	3.22	5	0.648532	11.8549	12.5034
0.3%	3.23	5	0.64892	11.8545	12.5034
0.3%	3.24	5	0.649316	11.8541	12.5034
0.3%	3.25	5	0.649721	11.8537	12.5034
0.3%	3.26	5	0.650132	11.8533	12.5034
0.3%	3.27	5	0.650551	11.8528	12.5034
0.3%	3.28	5	0.650977	11.8524	12.5034
0.3%	3.29	5	0.65141	11.852	12.5034
0.3%	3.3	5	0.651849	11.8515	12.5034
0.3%	3.31	5	0.652294	11.8511	12.5034
0.3%	3.32	5	0.652745	11.8507	12.5034
0.3%	3.33	5	0.653202	11.8502	12.5034
0.3%	3.34	5	0.653664	11.8497	12.5034
0.3%	3.35	5	0.654131	11.8493	12.5034
0.3%	3.36	5	0.654603	11.8488	12.5034
0.3%	3.37	5	0.65508	11.8483	12.5034
0.3%	3.38	5	0.655562	11.8478	12.5034
0.3%	3.39	5	0.656047	11.8474	12.5034
0.3%	3.4	5	0.656537	11.8469	12.5034
0.3%	3.41	5	0.65703	11.8464	12.5034
0.3%	3.42	5	0.657527	11.8459	12.5034
0.3%	3.43	5	0.658027	11.8454	12.5034
0.3%	3.44	5	0.658531	11.8449	12.5034
0.3%	3.45	5	0.659037	11.8444	12.5034
0.3%	3.46	5	0.659546	11.8439	12.5034
0.3%	3.47	5	0.660058	11.8433	12.5034
0.3%	3.48	5	0.660572	11.8428	12.5034
0.3%	3.49	5	0.661088	11.8423	12.5034
0.4%	3.5	5	0.661606	11.8418	12.5034
0.4%	3.51	5	0.662126	11.8413	12.5034
0.4%	3.52	5	0.662648	11.8408	12.5034
0.4%	3.53	5	0.663171	11.8402	12.5034
0.4%	3.54	5	0.663695	11.8397	12.5034
0.4%	3.55	5	0.664221	11.8392	12.5034
0.4%	3.56	5	0.664747	11.8387	12.5034
0.4%	3.57	5	0.665275	11.8381	12.5034
0.4%	3.58	5	0.665803	11.8376	12.5034
0.4%	3.59	5	0.666332	11.8371	12.5034
0.4%	3.6	5	0.666861	11.8365	12.5034
0.4%	3.61	5	0.667391	11.836	12.5034
0.4%	3.62	5	0.667921	11.8355	12.5034
0.4%	3.63	5	0.668451	11.835	12.5034
0.4%	3.64	5	0.668982	11.8344	12.5034
0.4%	3.65	5	0.669513	11.8339	12.5034
0.4%	3.66	5	0.670044	11.8334	12.5034
0.4%	3.67	5	0.670575	11.8328	12.5034
0.4%	3.68	5	0.671106	11.8323	12.5034
0.4%	3.69	5	0.671637	11.8318	12.5034
0.4%	3.7	5	0.672169	11.8312	12.5034
0.4%	3.71	5	0.6727	11.8307	12.5034
0.4%	3.72	5	0.673231	11.8302	12.5034
0.4%	3.73	5	0.673763	11.8296	12.5034
0.4%	3.74	5	0.674295	11.8291	12.5034
0.4%	3.75	5	0.674827	11.8286	12.5034
0.4%	3.76	5	0.67536	11.828	12.5034
0.4%	3.77	5	0.675893	11.8275	12.5034
0.4%	3.78	5	0.676427	11.827	12.5034
0.4%	3.79	5	0.676962	11.8264	12.5034
0.4%	3.8	5	0.677498	11.8259	12.5034
0.4%	3.81	5	0.678034	11.8254	12.5034
0.4%	3.82	5	0.678572	11.8248	12.5034
0.4%	3.83	5	0.679111	11.8243	12.5034
0.4%	3.84	5	0.679652	11.8238	12.5034
0.4%	3.85	5	0.680195	11.8232	12.5034
0.4%	3.86	5	0.680739	11.8227	12.5034
0.4%	3.87	5	0.681286	11.8221	12.5034
0.4%	3.88	5	0.681835	11.8216	12.5034
0.4%	3.89	5	0.682387	11.821	12.5034
0.4%	3.9	5	0.682941	11.8205	12.5034
0.4%	3.91	5	0.683499	11.8199	12.5034
0.4%	3.92	5	0.684059	11.8194	12.5034
0.4%	3.93	5	0.684624	11.8188	12.5034
0.4%	3.94	5	0.685192	11.8182	12.5034
0.4%	3.95	5	0.685764	11.8177	12.5034
0.4%	3.96	5	0.68634	11.8171	12.5034
0.4%	3.97	5	0.68692	11.8165	12.5034
0.4%	3.98	5	0.687505	11.8159	12.5034
0.4%	3.99	5	0.688094	11.8153	12.5034
0.4%	4	5	0.688689	11.8147	12.5034
0.4%	4.01	5	0.689289	11.8141	12.5034
0.4%	4.02	5	0.689893	11.8135	12.5034
0.4%	4.03	5	0.690504	11.8129	12.5034
0.4%	4.04	5	0.691119	11.8123	12.5034
0.4%	4.05	5	0.691741	11.8117	12.5034
0.4%	4.06	5	0.692368	11.8111	12.5034
0.4%	4.07	5	0.693001	11.8104	12.5034
0.4%	4.08	5	0.693639	11.8098	12.5034
0.4%	4.09	5	0.694284	11.8091	12.5034
0.4%	4.1	5	0.694934	11.8085	12.5034
0.4%	4.11	5	0.69559	11.8078	12.5034
0.4%	4.12	5	0.696252	11.8072	12.5034
0.4%	4.13	5	0.696919	11.8065	12.5034
0.4%	4.14	5	0.697592	11.8058	12.5034
0.4%	4.15	5	0.69827	11.8052	12.5034
0.4%	4.16	5	0.698953	11.8045	12.5034
0.4%	4.17	5	0.699641	11.8038	12.5034
0.4%	4.18	5	0.700334	11.8031	12.5034
0.4%	4.19	5	0.701031	11.8024	12.5034
0.4%	4.2	5	0.701732	11.8017	12.5034
0.4%	4.21	5	0.702437	11.801	12.5034
0.4%	4.22	5	0.703145	11.8003	12.5034
0.4%	4.23	5	0.703856	11.7996	12.5034
0.4%	4.24	5	0.704568	11.7989	12.5034
0.4%	4.25	5	0.705283	11.7981	12.5034
0.4%	4.26	5	0.705998	11.7974	12.5034
0.4%	4.27	5	0.706714	11.7967	12.5034
0.4%	4.28	5	0.70743	11.796	12.5034
0.4%	4.29	5	0.708145	11.7953	12.5034
0.4%	4.3	5	0.708859	11.7946	12.5034
0.4%	4.31	5	0.70957	11.7939	12.5034
0.4%	4.32	5	0.710278	11.7932	12.5034
0.4%	4.33	5	0.710981	11.7925	12.5034
0.4%	4.34	5	0.71168	11.7918	12.5034
0.4%	4.35	5	0.712373	11.7911	12.5034
0.4%	4.36	5	0.71306	11.7904	12.5034
0.4%	4.37	5	0.713738	11.7897	12.5034
0.4%	4.38	5	0.714407	11.789	12.5034
0.4%	4.39	5	0.715067	11.7884	12.5034
0.4%	4.4	5	0.715716	11.7877	12.5034
0.4%	4.41	5	0.716353	11.7871	12.5034
0.4%	4.42	5	0.716976	11.7865	12.5034
0.4%	4.43	5	0.717586	11.7859	12.5034
0.4%	4.44	5	0.718179	11.7853	12.5034
0.4%	4.45	5	0.718757	11.7847	12.5034
0.4%	4.46	5	0.719316	11.7841	12.5034
0.4%	4.47	5	0.719856	11.7836	12.5034
0.4%	4.48	5	0.720376	11.7831	12.5034
